Index,Date,Open,High,Low,Close,Shares Traded,Turnover (â‚¹ Cr)
NIFTY SMALLCAP 250,26-Dec-23,13848.6,13857.5,13790.15,13833,734283323,15799.06
NIFTY SMALLCAP 250,27-Dec-23,13913.5,13939.75,13799.45,13874.4,803065710,17655.65
NIFTY SMALLCAP 250,28-Dec-23,13939.5,13968.85,13892.95,13956.55,1239173529,23327.33
NIFTY SMALLCAP 250,29-Dec-23,14005.2,14059.05,13928.75,14041.3,863691568,19359.85
NIFTY SMALLCAP 250,01-Jan-24,14081.9,14167.95,14074.7,14129.7,823969589,16905.98
NIFTY SMALLCAP 250,02-Jan-24,14173.3,14212.6,13960.3,14124.25,1027487088,19605.16
NIFTY SMALLCAP 250,03-Jan-24,14142.45,14170.25,14072.2,14141,1174795123,18486.3
NIFTY SMALLCAP 250,04-Jan-24,14209.25,14297.75,14207.75,14286.3,1082219316,20579.41
NIFTY SMALLCAP 250,05-Jan-24,14362.75,14402.6,14256.55,14382.4,1258445169,19997.15
NIFTY SMALLCAP 250,08-Jan-24,14445.3,14456.3,14288.15,14298.2,986092810,17766.24
NIFTY SMALLCAP 250,09-Jan-24,14403.35,14448.75,14336.5,14350.9,1348939401,17577.36
NIFTY SMALLCAP 250,10-Jan-24,14383.65,14410.7,14285.9,14379.85,1421848020,22635.73
NIFTY SMALLCAP 250,11-Jan-24,14442.25,14517.65,14440.2,14498.55,1549077527,25058.91
NIFTY SMALLCAP 250,12-Jan-24,14580.75,14601.3,14540.8,14552.75,1281840049,19429.81
NIFTY SMALLCAP 250,15-Jan-24,14645.25,14676.05,14509.7,14589,1229144594,20443.48
NIFTY SMALLCAP 250,16-Jan-24,14627.15,14658.2,14406.9,14549.05,1239338720,23030.36
NIFTY SMALLCAP 250,17-Jan-24,14432.05,14556.35,14337.35,14396.6,1237426429,21163.19
NIFTY SMALLCAP 250,18-Jan-24,14386.3,14455.6,14042.7,14394.95,1110462221,20761.13
NIFTY SMALLCAP 250,19-Jan-24,14510.5,14603.9,14505.5,14548.55,1323021392,22302.23
NIFTY SMALLCAP 250,20-Jan-24,14622.25,14662.6,14581.2,14614.2,1338286575,22091.16
NIFTY SMALLCAP 250,23-Jan-24,14716.95,14739.9,14156.6,14217.35,1480989632,24742.36
NIFTY SMALLCAP 250,24-Jan-24,14246.95,14479.5,14073.15,14467.35,1411208434,23628.74
NIFTY SMALLCAP 250,25-Jan-24,14523.9,14565.55,14447,14543.8,1510390647,24088.44
NIFTY SMALLCAP 100,26-Dec-23,14904.15,14914.15,14822.25,14866.45,444143523,9379.14
NIFTY SMALLCAP 100,27-Dec-23,14953.1,14989.9,14821.9,14933.35,500681694,9842.99
NIFTY SMALLCAP 100,28-Dec-23,15006.75,15062.7,14965.15,15051.25,935251034,15550.45
NIFTY SMALLCAP 100,29-Dec-23,15114.95,15165,15019.8,15143.65,619579750,11840.98
NIFTY SMALLCAP 100,01-Jan-24,15195.05,15274.35,15182.1,15226.1,474953767,8773.54
NIFTY SMALLCAP 100,02-Jan-24,15269.45,15324.75,15015.2,15189.9,465792213,8924.49
NIFTY SMALLCAP 100,03-Jan-24,15199.35,15226.95,15096.25,15188.8,567824616,8393.1
NIFTY SMALLCAP 100,04-Jan-24,15265.5,15367.95,15263.45,15339.2,621177260,10383.43
NIFTY SMALLCAP 100,05-Jan-24,15426.4,15458.05,15285.75,15438.85,543483503,9493.43
NIFTY SMALLCAP 100,08-Jan-24,15511.65,15523.8,15326.85,15342.55,539470966,8708.78
NIFTY SMALLCAP 100,09-Jan-24,15462.6,15506.8,15384.25,15409.7,770779661,9319.37
NIFTY SMALLCAP 100,10-Jan-24,15445.4,15465.8,15288.3,15386.7,585327277,10941.82
NIFTY SMALLCAP 100,11-Jan-24,15450.6,15496.25,15420.7,15476.45,871230611,11889.8
NIFTY SMALLCAP 100,12-Jan-24,15568.55,15609.7,15526.9,15544.65,656539753,10762.14
NIFTY SMALLCAP 100,15-Jan-24,15642.9,15687.1,15503.05,15610.5,687346551,11171.79
NIFTY SMALLCAP 100,16-Jan-24,15620.75,15653.9,15376.2,15535.3,725964934,12510.63
NIFTY SMALLCAP 100,17-Jan-24,15385.85,15550.35,15282.05,15348.35,616547417,12042.23
NIFTY SMALLCAP 100,18-Jan-24,15333,15417.45,14936,15320.6,621927010,11216.93
NIFTY SMALLCAP 100,19-Jan-24,15455.8,15561.25,15447.55,15487.45,853289740,12455.66
NIFTY SMALLCAP 100,20-Jan-24,15553.65,15589.35,15477.7,15518.9,892610741,12499.87
NIFTY SMALLCAP 100,23-Jan-24,15633.45,15665.7,15014.05,15073.05,932824736,13537.33
NIFTY SMALLCAP 100,24-Jan-24,15109.8,15348.2,14910.3,15332.05,910475337,14022.18
NIFTY SMALLCAP 100,25-Jan-24,15397.85,15435.3,15289.15,15409.4,975070207,15852.7
NIFTY MIDCAP 150,26-Dec-23,16761.8,16826.7,16712.05,16787,977432773,18558.92
NIFTY MIDCAP 150,27-Dec-23,16873.5,16932.4,16775.9,16852.45,760450181,18294.6
NIFTY MIDCAP 150,28-Dec-23,16909.4,16944.55,16848.4,16933.75,1088675654,22603.97
NIFTY MIDCAP 150,29-Dec-23,16972.9,17102.4,16907.6,17077.05,2735973623,23766.47
NIFTY MIDCAP 150,01-Jan-24,17135,17229,17104.85,17174,3005367489,20630.56
NIFTY MIDCAP 150,02-Jan-24,17214.95,17238,16961.25,17148.1,2456015603,24277.2
NIFTY MIDCAP 150,03-Jan-24,17176.85,17232.3,17082.6,17189.95,1764537582,21760.76
NIFTY MIDCAP 150,04-Jan-24,17264.7,17454.9,17259.4,17443.75,1523982033,23253.88
NIFTY MIDCAP 150,05-Jan-24,17525.15,17575.65,17376.55,17499.65,2126225718,24231.3
NIFTY MIDCAP 150,08-Jan-24,17550.85,17560.25,17334.45,17350.55,2015873594,22227.32
NIFTY MIDCAP 150,09-Jan-24,17472.85,17517.95,17356.25,17382,1877882513,26319.89
NIFTY MIDCAP 150,10-Jan-24,17411.85,17433.5,17251.65,17425.35,1699922723,23340.02
NIFTY MIDCAP 150,11-Jan-24,17492.35,17536.4,17449.2,17500.5,1315434787,28012.18
NIFTY MIDCAP 150,12-Jan-24,17583.3,17589.55,17511.95,17563.85,1212587120,22512.95
NIFTY MIDCAP 150,15-Jan-24,17659.55,17685.8,17537.25,17656.35,1651910396,29371.62
NIFTY MIDCAP 150,16-Jan-24,17706.95,17738.25,17453.5,17599.8,2274738364,31371.53
NIFTY MIDCAP 150,17-Jan-24,17455.7,17564.35,17331.5,17413.15,2043479248,31310.56
NIFTY MIDCAP 150,18-Jan-24,17386.5,17431.5,16978.05,17409.45,1837157949,35326.89
NIFTY MIDCAP 150,19-Jan-24,17546.9,17687.2,17508.5,17670.85,1733489616,37812.46
NIFTY MIDCAP 150,20-Jan-24,17799.1,17836.45,17688.7,17724.7,1106727455,18396.15
NIFTY MIDCAP 150,23-Jan-24,17857.9,17868,17110.05,17204.35,2088556184,38230.02
NIFTY MIDCAP 150,24-Jan-24,17240.95,17518.35,17033.4,17495.55,1984366717,34446.53
NIFTY MIDCAP 150,25-Jan-24,17546.7,17559.25,17334.5,17413.75,1527267340,26990.04
NIFTY NEXT 50,26-Dec-23,52201.05,52483.3,52113.2,52434.85,281167603,9076.3
NIFTY NEXT 50,27-Dec-23,52699.35,52875,52428.95,52680.2,263792535,9532.43
NIFTY NEXT 50,28-Dec-23,52906.75,53038.65,52734.8,52964.1,515341622,13662.5
NIFTY NEXT 50,29-Dec-23,53033.55,53388.9,52845.05,53344.8,366472016,10392.48
NIFTY NEXT 50,01-Jan-24,53551.6,53648.95,53297.9,53409.8,289388883,8298.12
NIFTY NEXT 50,02-Jan-24,53586.35,53604.4,52605.2,53277.5,310392600,9717.96
NIFTY NEXT 50,03-Jan-24,53408.35,53842.1,53225.2,53680.35,382533455,16489.75
NIFTY NEXT 50,04-Jan-24,53908.95,54434.2,53897.8,54359.95,299089963,11785.98
NIFTY NEXT 50,05-Jan-24,54582.05,54687.6,53949,54295.25,339192999,13463.46
NIFTY NEXT 50,08-Jan-24,54450,54450,53670,53728.9,286180407,10421.97
NIFTY NEXT 50,09-Jan-24,54115.2,54297.6,53891.65,53960.65,248184674,10069.22
NIFTY NEXT 50,10-Jan-24,53997.65,54131.95,53490.05,54077.65,269700864,9904.68
NIFTY NEXT 50,11-Jan-24,54355.25,54675.55,54318.9,54595.6,293715289,10361.13
NIFTY NEXT 50,12-Jan-24,54847.6,54852.9,54587.1,54742.9,310809186,9538.3
NIFTY NEXT 50,15-Jan-24,55013.2,55025.6,54530.6,54936.65,284775438,9906.54
NIFTY NEXT 50,16-Jan-24,55013,55056.75,54515,54816.9,337642014,11899.48
NIFTY NEXT 50,17-Jan-24,54478.65,54813.1,54116.55,54206.25,410804424,12956.75
NIFTY NEXT 50,18-Jan-24,54052.55,54150.95,52766.3,53948.4,381326021,12272.06
NIFTY NEXT 50,19-Jan-24,54297.25,54741.8,54250.95,54709,353182530,11077.58
NIFTY NEXT 50,20-Jan-24,54970.9,55038.55,54459.35,54727.2,214455320,8033.04
NIFTY NEXT 50,23-Jan-24,55218.25,55227.7,53009.75,53294.7,454942238,16358.85
NIFTY NEXT 50,24-Jan-24,53419.05,54272.05,52872.95,54208.3,372127973,14656.33
NIFTY NEXT 50,25-Jan-24,54493.2,54493.2,53779.5,54291.75,399587259,11922.63
